,Initial Condition,End Condition,Ecosystem Element,Stocking Change
0,88,79,Grassland,0
1,6,9,Woodland,0
2,6,11,Thorny Scrub,0
3,0,0,Bare ground,0
4,88,79,Grassland,1
5,6,9,Woodland,1
6,6,11,Thorny Scrub,1
7,0,0,Bare ground,1
8,88,80,Grassland,2
9,6,9,Woodland,2
10,6,11,Thorny Scrub,2
11,0,0,Bare ground,2
12,0,91,Grassland,0
13,0,0,Woodland,0
14,0,9,Thorny Scrub,0
15,100,0,Bare ground,0
16,0,92,Grassland,1
17,0,0,Woodland,1
18,0,8,Thorny Scrub,1
19,100,0,Bare ground,1
20,0,92,Grassland,2
21,0,0,Woodland,2
22,0,8,Thorny Scrub,2
23,100,0,Bare ground,2
